state,district,cases
Alabama,1,447977722
Alabama,2,1229523279
Alabama,3,1013976942
Alabama,4,1043797360
Alabama,5,419669419
Alabama,6,458393687
Alabama,7,1014817081
Alaska,1,1848046897
Arizona,1,526117115
Arizona,2,133650378
Arizona,3,170192152
Arizona,4,351976831
Arizona,5,15624746
Arizona,6,15624746
Arizona,7,15624746
Arizona,8,15624746
Arizona,9,15624746
Arkansas,1,2433458974
Arkansas,2,588035709
Arkansas,3,686405432
Arkansas,4,2592480510
California,1,759918864
California,2,452288570
California,3,492695602
California,4,608371707
California,5,213123388
California,6,59140282
California,7,41583003
California,8,195650075
California,9,76865549
California,10,107107770
California,11,56284029
California,12,73337303
California,13,39062790
California,14,80897856
California,15,40910923
California,16,181453046
California,17,34694503
California,18,54855973
California,19,33182404
California,20,237149132
California,21,140290074
California,22,94674846
California,23,71069117
California,24,168936229
California,25,16969230
California,26,70985164
California,27,7056508
California,28,6048435
California,29,6048435
California,30,6132441
California,31,28982094
California,32,6048435
California,33,6048435
California,34,6048435
California,35,24109742
California,36,26965947
California,37,6048435
California,38,6300453
California,39,16885218
California,40,6048435
California,41,26965947
California,42,26965947
California,43,6048435
California,44,6048435
California,45,19657418
California,46,19657418
California,47,11592836
California,48,19657418
California,49,19153384
California,50,19993445
California,51,98371063
California,52,19069379
California,53,19069379
Colorado,1,102069758
Colorado,2,639889324
Colorado,3,2412711665
Colorado,4,1594893205
Colorado,5,378624321
Colorado,6,124583880
Colorado,7,123827836
Connecticut,1,92325895
Connecticut,2,302180415
Connecticut,3,91905854
Connecticut,4,65611030
Connecticut,5,120216886
Delaware,1,252030009
Florida,1,384523326
Florida,2,1332935441
Florida,3,455513358
Florida,4,200452831
Florida,5,517178160
Florida,6,202469116
Florida,7,104091008
Florida,8,169116227
Florida,9,133075165
Florida,10,51079354
Florida,11,329411311
Florida,12,104931115
Florida,13,63849198
Florida,14,47550824
Florida,15,82415851
Florida,16,142568517
Florida,17,562124647
Florida,18,185330688
Florida,19,114004356
Florida,20,37049312
Florida,21,44274376
Florida,22,35369065
Florida,23,32428638
Florida,24,24615538
Florida,25,143996647
Florida,26,105015109
Florida,27,23439372
Georgia,1,1314217307
Georgia,2,2393535187
Georgia,3,954809784
Georgia,4,211209175
Georgia,5,91994337
Georgia,6,74015537
Georgia,7,118122455
Georgia,8,1951121865
Georgia,9,1520386349
Georgia,10,1805611231
Georgia,11,212889052
Georgia,12,1536180548
Georgia,13,220366357
Georgia,14,953633492
Hawaii,1,59986712
Hawaii,2,360088313
Idaho,1,1554128830
Idaho,2,2142577106
Illinois,1,21928469
Illinois,2,99392220
Illinois,3,21676417
Illinois,4,11510333
Illinois,5,16131271
Illinois,6,83765026
Illinois,7,11510333
Illinois,8,44865108
Illinois,9,11510333
Illinois,10,67885812
Illinois,11,110062427
Illinois,12,960651777
Illinois,13,942839688
Illinois,14,198112311
Illinois,15,2575712067
Illinois,16,849244726
Illinois,17,1022740390
Illinois,18,1436356631
Indiana,1,168036216
Indiana,2,704827915
Indiana,3,827662233
Indiana,4,1240190902
Indiana,5,465040034
Indiana,6,1555426939
Indiana,7,66962423
Indiana,8,1525432772
Indiana,9,1008048906
Iowa,1,1680381760
Iowa,2,2016458532
Iowa,3,1344305758
Iowa,4,3192725610
Kansas,1,5245543983
Kansas,2,2030345306
Kansas,3,197783423
Kansas,4,1348438313
Kentucky,1,2859658853
Kentucky,2,1641268162
Kentucky,3,82004604
Kentucky,4,1524395105
Kentucky,5,2452744927
Kentucky,6,1522462749
Louisiana,1,450442401
Louisiana,2,470859691
Louisiana,3,759223304
Louisiana,4,1217479564
Louisiana,5,1738920722
Louisiana,6,656464355
Maine,1,472293377
Maine,2,872074879
Maryland,1,763274283
Maryland,2,111499933
Maryland,3,106878679
Maryland,4,28064017
Maryland,5,176954570
Maryland,6,325256993
Maryland,7,115785393
Maryland,8,136707082
Massachusetts,1,222246150
Massachusetts,2,180317688
Massachusetts,3,58985561
Massachusetts,4,92847638
Massachusetts,5,45289484
Massachusetts,6,71169183
Massachusetts,7,74698246
Massachusetts,8,99989776
Massachusetts,9,330722441
Michigan,1,2626991019
Michigan,2,506089291
Michigan,3,319130922
Michigan,4,1207791206
Michigan,5,410467289
Michigan,6,502307866
Michigan,7,527095550
Michigan,8,185109461
Michigan,9,64363996
Michigan,10,427104752
Michigan,11,43273460
Michigan,12,82093560
Michigan,13,32602151
Michigan,14,39744365
Minnesota,1,1675080017
Minnesota,2,383583717
Minnesota,3,107386544
Minnesota,4,139064915
Minnesota,5,58314767
Minnesota,6,420135473
Minnesota,7,3071022239
Minnesota,8,1455768898
Mississippi,1,1770135566
Mississippi,2,2113978512
Mississippi,3,1903572226
Mississippi,4,1102616420
Missouri,1,120162061
Missouri,2,96297430
Missouri,3,987762180
Missouri,4,1925862788
Missouri,5,354098785
Missouri,6,2859846517
Missouri,7,859281793
Missouri,8,2376091826
Montana,1,4705683136
Nebraska,1,1383824247
Nebraska,2,132517030
Nebraska,3,6298466341
Nevada,1,29075073
Nevada,2,909394969
Nevada,3,29075073
Nevada,4,460999659
New Hampshire,1,365543589
New Hampshire,2,474786511
New Jersey,1,146471280
New Jersey,2,368909320
New Jersey,3,124202273
New Jersey,4,110336675
New Jersey,5,164454593
New Jersey,6,82605445
New Jersey,7,228572560
New Jersey,8,95546682
New Jersey,9,94286171
New Jersey,10,90084470
New Jersey,11,132269559
New Jersey,12,127059447
New Mexico,1,193112506
New Mexico,2,1286240100
New Mexico,3,1209768378
New York,1,40421366
New York,2,41597865
New York,3,40505389
New York,4,45043328
New York,5,29076483
New York,6,27059618
New York,7,26471357
New York,8,24286419
New York,9,24118345
New York,10,32185810
New York,11,92355654
New York,12,35043038
New York,13,39412905
New York,14,32521950
New York,15,43530651
New York,16,56808397
New York,17,120003546
New York,18,224124186
New York,19,683297252
New York,20,325471664
New York,21,887420773
New York,22,540099625
New York,23,857335954
New York,24,305050922
New York,25,81010757
New York,26,89918564
New York,27,466148064
North Carolina,1,1099037355
North Carolina,2,362452053
North Carolina,3,1388208663
North Carolina,4,145972526
North Carolina,5,845581310
North Carolina,6,616243977
North Carolina,7,639354287
North Carolina,8,537921511
North Carolina,9,519769553
North Carolina,10,541703084
North Carolina,11,1305096110
North Carolina,12,67061621
North Carolina,13,335307950
North Dakota,1,4454016809
Ohio,1,137319930
Ohio,2,540539265
Ohio,3,52104210
Ohio,4,925942639
Ohio,5,1045194428
Ohio,6,1206044853
Ohio,7,575583669
Ohio,8,454819433
Ohio,9,209341342
Ohio,10,238418852
Ohio,11,56222136
Ohio,12,384730974
Ohio,13,230183188
Ohio,14,307582974
Ohio,15,820641702
Ohio,16,210686110
Oklahoma,1,275819743
Oklahoma,2,2169830678
Oklahoma,3,2667011629
Oklahoma,4,1113699042
Oklahoma,5,244724837
Oregon,1,341962987
Oregon,2,1651154273
Oregon,3,97319526
Oregon,4,524079818
Oregon,5,410960693
Pennsylvania,1,92530268
Pennsylvania,2,38827451
Pennsylvania,3,38827451
Pennsylvania,4,75974046
Pennsylvania,5,93706887
Pennsylvania,6,126315161
Pennsylvania,7,196994651
Pennsylvania,8,377853255
Pennsylvania,9,503243887
Pennsylvania,10,199515860
Pennsylvania,11,120012104
Pennsylvania,12,1193733838
Pennsylvania,13,644098225
Pennsylvania,14,326335435
Pennsylvania,15,947742227
Pennsylvania,16,394913617
Pennsylvania,17,127575766
Pennsylvania,18,48492236
Rhode Island,1,220867642
Rhode Island,2,199352383
South Carolina,1,279365648
South Carolina,2,313403939
South Carolina,3,781198739
South Carolina,4,151953477
South Carolina,5,814144481
South Carolina,6,862890427
South Carolina,7,663115405
South Dakota,1,5462994383
Tennessee,1,942083911
Tennessee,2,498735259
Tennessee,3,851817392
Tennessee,4,1290038983
Tennessee,5,229952687
Tennessee,6,1457628962
Tennessee,7,1537053257
Tennessee,8,1113287735
Tennessee,9,63875839
Texas,1,897888267
Texas,2,14372242
Texas,3,75054940
Texas,4,1406883568
Texas,5,484369962
Texas,6,191377906
Texas,7,14372242
Texas,8,623722723
Texas,9,32274498
Texas,10,554634292
Texas,11,2378144925
Texas,12,143134443
Texas,13,3363442143
Texas,14,209700191
Texas,15,555894799
Texas,16,73289979
Texas,17,758199047
Texas,18,14372242
Texas,19,2339063393
Texas,20,34207548
Texas,21,611618627
Texas,22,107665631
Texas,23,2272077974
Texas,24,37905747
Texas,25,761644760
Texas,26,76651912
Texas,27,950669972
Texas,28,539254259
Texas,29,14372242
Texas,30,24794193
Texas,31,158767187
Texas,32,28240164
Texas,33,28492372
Texas,34,736934735
Texas,35,155741240
Texas,36,679278296
Utah,1,810400704
Utah,2,949081662
Utah,3,505302764
Utah,4,172636711
Vermont,1,1176700196
Virginia,1,1398694558
Virginia,2,272913951
Virginia,3,168102713
Virginia,4,720823030
Virginia,5,1600752759
Virginia,6,987180865
Virginia,7,771420958
Virginia,8,112628373
Virginia,9,1763728483
Virginia,10,278713367
Virginia,11,162051024
Washington,1,120868303
Washington,2,305616895
Washington,3,592657989
Washington,4,559456960
Washington,5,833469968
Washington,6,418584089
Washington,7,32612579
Washington,8,237281687
Washington,9,30679357
Washington,10,147008801
West Virginia,1,1681081144
West Virginia,2,1428918835
West Virginia,3,1512973046
Wisconsin,1,311760358
Wisconsin,2,479366033
Wisconsin,3,1391363489
Wisconsin,4,63041309
Wisconsin,5,290158187
Wisconsin,6,800708674
Wisconsin,7,1869552798
Wisconsin,8,846014271
Wyoming,1,1933288529
