"county","cd116","cntyname","pop10","afact"
"County code","116th Congressional district","County name","Population (2010)","county to cd116 allocation factor"
"17001","18","Adams IL",67103,1 
"17003","12","Alexander IL",8238,1 
"17005","13","Bond IL",4313,0.243 
"17005","15","Bond IL",13455,0.757 
"17007","16","Boone IL",54165,1 
"17009","18","Brown IL",6937,1 
"17011","16","Bureau IL",34978,1 
"17013","13","Calhoun IL",5089,1 
"17015","17","Carroll IL",15387,1 
"17017","18","Cass IL",13642,1 
"17019","13","Champaign IL",150996,0.751 
"17019","15","Champaign IL",50085,0.249 
"17021","13","Christian IL",34800,1 
"17023","15","Clark IL",16335,1 
"17025","15","Clay IL",13815,1 
"17027","15","Clinton IL",37762,1 
"17029","15","Coles IL",53873,1 
"17031","01","Cook IL",616830,0.119 
"17031","02","Cook IL",546565,0.105 
"17031","03","Cook IL",618194,0.119 
"17031","04","Cook IL",712813,0.137 
"17031","05","Cook IL",651162,0.125 
"17031","06","Cook IL",92373,0.018 
"17031","07","Cook IL",712812,0.137 
"17031","08","Cook IL",360056,0.069 
"17031","09","Cook IL",712856,0.137 
"17031","10","Cook IL",167002,0.032 
"17031","11","Cook IL",4012,0.001 
"17033","15","Crawford IL",19817,1 
"17035","15","Cumberland IL",11048,1 
"17037","14","DeKalb IL",36986,0.352 
"17037","16","DeKalb IL",68174,0.648 
"17039","13","De Witt IL",16561,1 
"17041","15","Douglas IL",19980,1 
"17043","03","DuPage IL",1300,0.001 
"17043","05","DuPage IL",61651,0.067 
"17043","06","DuPage IL",363408,0.396 
"17043","08","DuPage IL",259111,0.283 
"17043","11","DuPage IL",210774,0.23 
"17043","14","DuPage IL",20680,0.023 
"17045","15","Edgar IL",18576,1 
"17047","15","Edwards IL",6721,1 
"17049","15","Effingham IL",34242,1 
"17051","15","Fayette IL",22140,1 
"17053","15","Ford IL",6357,0.451 
"17053","16","Ford IL",7724,0.549 
"17055","12","Franklin IL",39561,1 
"17057","17","Fulton IL",37069,1 
"17059","15","Gallatin IL",5589,1 
"17061","13","Greene IL",13886,1 
"17063","16","Grundy IL",50063,1 
"17065","15","Hamilton IL",8457,1 
"17067","18","Hancock IL",19104,1 
"17069","15","Hardin IL",4320,1 
"17071","17","Henderson IL",7331,1 
"17073","17","Henry IL",50486,1 
"17075","16","Iroquois IL",29718,1 
"17077","12","Jackson IL",60218,1 
"17079","15","Jasper IL",9698,1 
"17081","12","Jefferson IL",38827,1 
"17083","13","Jersey IL",22985,1 
"17085","17","Jo Daviess IL",22678,1 
"17087","15","Johnson IL",12582,1 
"17089","06","Kane IL",109171,0.212 
"17089","08","Kane IL",93602,0.182 
"17089","11","Kane IL",146149,0.284 
"17089","14","Kane IL",166347,0.323 
"17091","02","Kankakee IL",113449,1 
"17093","11","Kendall IL",38142,0.332 
"17093","14","Kendall IL",76594,0.668 
"17095","17","Knox IL",52919,1 
"17097","06","Lake IL",59480,0.085 
"17097","10","Lake IL",545811,0.776 
"17097","14","Lake IL",98171,0.14 
"17099","16","La Salle IL",113924,1 
"17101","15","Lawrence IL",16833,1 
"17103","16","Lee IL",36031,1 
"17105","16","Livingston IL",38950,1 
"17107","18","Logan IL",30305,1 
"17109","18","McDonough IL",32612,1 
"17111","06","McHenry IL",88389,0.286 
"17111","14","McHenry IL",220371,0.714 
"17113","13","McLean IL",60677,0.358 
"17113","18","McLean IL",108895,0.642 
"17115","13","Macon IL",110768,1 
"17117","13","Macoupin IL",47765,1 
"17119","12","Madison IL",116804,0.434 
"17119","13","Madison IL",98754,0.367 
"17119","15","Madison IL",53724,0.2 
"17121","15","Marion IL",39437,1 
"17123","18","Marshall IL",12640,1 
"17125","18","Mason IL",14666,1 
"17127","15","Massac IL",15429,1 
"17129","18","Menard IL",12705,1 
"17131","17","Mercer IL",16434,1 
"17133","12","Monroe IL",32957,1 
"17135","13","Montgomery IL",30104,1 
"17137","18","Morgan IL",35547,1 
"17139","15","Moultrie IL",14846,1 
"17141","16","Ogle IL",53497,1 
"17143","17","Peoria IL",84935,0.455 
"17143","18","Peoria IL",101559,0.545 
"17145","12","Perry IL",22350,1 
"17147","13","Piatt IL",16729,1 
"17149","18","Pike IL",16430,1 
"17151","15","Pope IL",4470,1 
"17153","12","Pulaski IL",6161,1 
"17155","16","Putnam IL",6006,1 
"17157","12","Randolph IL",33476,1 
"17159","15","Richland IL",16233,1 
"17161","17","Rock Island IL",147546,1 
"17163","12","St. Clair IL",270056,1 
"17165","15","Saline IL",24913,1 
"17167","13","Sangamon IL",99386,0.503 
"17167","18","Sangamon IL",98079,0.497 
"17169","18","Schuyler IL",7544,1 
"17171","18","Scott IL",5355,1 
"17173","15","Shelby IL",22363,1 
"17175","16","Stark IL",1353,0.226 
"17175","18","Stark IL",4641,0.774 
"17177","17","Stephenson IL",47711,1 
"17179","17","Tazewell IL",49009,0.362 
"17179","18","Tazewell IL",86385,0.638 
"17181","12","Union IL",17808,1 
"17183","15","Vermilion IL",81625,1 
"17185","15","Wabash IL",11947,1 
"17187","17","Warren IL",17707,1 
"17189","15","Washington IL",14716,1 
"17191","15","Wayne IL",16760,1 
"17193","15","White IL",14665,1 
"17195","17","Whiteside IL",58498,1 
"17197","01","Will IL",95983,0.142 
"17197","02","Will IL",52799,0.078 
"17197","03","Will IL",93319,0.138 
"17197","11","Will IL",313693,0.463 
"17197","14","Will IL",93699,0.138 
"17197","16","Will IL",28067,0.041 
"17199","12","Williamson IL",66357,1 
"17201","16","Winnebago IL",190163,0.644 
"17201","17","Winnebago IL",105103,0.356 
"17203","18","Woodford IL",38664,1 
